sep=,

File creation date: 20/02/2016
ANNEX II (CosIng 2),Last update: 23/06/2015
LIST OF SUBSTANCES PROHIBITED IN COSMETIC PRODUCTS

Substance identification

Reference Number,Chemical name / INN,CAS Number,EC Number,Regulation,Regulated By,Other Directives/Regulations,SCCS opinions,Chemical/IUPAC Name,Identified INGREDIENTS or substances e.g.,CMR,Update date
777,"Distillates (petroleum), hydrotreated light naphthenic, if they contain > 3 % w/w DMSO extract","64742-53-6","265-156-6","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
778,"Distillates (petroleum), hydrotreated heavy paraffinic, if they contain > 3 % w/w DMSO extract","64742-54-7","265-157-1","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
779,"Distillates (petroleum), hydrotreated light paraffinic, if they contain > 3 % w/w DMSO extract","64742-55-8 ","265-158-7 ","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
780,"Distillates (petroleum), solvent -dewaxed light paraffinic, if they contain > 3 % w/w DMSO extract","64742-56-9","265-159-2","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
781,"Residual oils (petroleum), hydrotreated, if they contain > 3 % w/w DMSO extract","64742-57-0","265-160-8","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
782,"Residual oils (petroleum), solvent -dewaxed, if they contain > 3 % w/w DMSO extract","64742-62-7","265-166-0","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
783,"Distillates (petroleum), solvent -dewaxed heavy naphthenic, if they contain > 3 % w/w DMSO extract","64742-63-8","265-167-6","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
784,"Distillates (petroleum), solvent -dewaxed light naphthenic, if they contain > 3 % w/w DMSO extract","64742-64-9","265-168-1","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
785,"Distillates (petroleum), solvent -dewaxed heavy paraffinic, if they contain > 3 % w/w DMSO extract","64742-65-0","265-169-7","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
786,"Foots oil (petroleum), if it contains > 3 % w/w DMSO extract","64742-67-2","265-171-8","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
787,"Naphthenic oils (petroleum), catalytic dewaxed heavy, if they contain > 3 % w/w DMSO extract","64742-68-3","265-172-3","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
788,"Naphthenic oils (petroleum), catalytic dewaxed light, if they contain > 3 % w/w DMSO extract","64742-69-4 ","265-173-9 ","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
789,"Paraffin oils (petroleum), catalytic dewaxed heavy, if they contain > 3 % w/w DMSO extract","64742-70-7","265-174-4","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
790,"Paraffin oils (petroleum), catalytic dewaxed light, if they contain > 3 % w/w DMSO extract","64742-71-8","265-176-5","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
791,"Naphthenic oils (petroleum), complex dewaxed heavy, if they contain > 3 % w/w DMSO extract","64742-75-2","265-179-1","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
792,"Naphthenic oils (petroleum), complex dewaxed light, if they contain > 3 % w/w DMSO extract","64742-76-3","265-180-7","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
793,"Extracts (petroleum), heavy naphthenic distillate solvent, arom. conc., if they contain > 3 % w/w DMSO extract","68783-00-6","272-175-3","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
794,"Extracts (petroleum), solvent -refined heavy paraffinic distillate solvent, if they contain > 3 % w/w DMSO extract","68783-04-0","272-180-0","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
795,"Extracts (petroleum), heavy paraffinic distillates, solvent -deasphalted, if they contain > 3 % w/w DMSO extract","68814-89-1","272-342-0","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
796,"Lubricating oils (petroleum), C20 -50, hydrotreated neutral oil-based, high-viscosity, if they contain > 3 % w/w DMSO extract","72623-85-9","276-736-3","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
797,"Lubricating oils (petroleum), C15 -30, hydrotreated neutral oil-based, if they contain > 3 % w/w DMSO extract","72623-86-0 ","276-737-9 ","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
798,"Lubricating oils (petroleum), C20 -50, hydrotreated neutral oil-based, if they contain > 3 % w/w DMSO extract","72623-87-1","276-738-4","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
799,"Lubricating oils, if they contain > 3 % w/w DMSO extract","74869-22-0","278-012-2","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
800,"Distillates (petroleum), complex dewaxed heavy paraffinic, if they contain > 3 % w/w DMSO extract","90640-91-8","292-613-7","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
801,"Distillates (petroleum), complex dewaxed light paraffinic, if they contain > 3 % w/w DMSO extract","90640-92-9","292-614-2","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
802,"Distillates (petroleum), solvent dewaxed heavy paraffinic, clay -treated, if they contain > 3 % w/w DMSO extract","90640-94-1","292-616-3","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
803,"Hydrocarbons, C20 -50, solvent dewaxed heavy paraffinic, hydrotreated, if they contain > 3 % w/w DMSO extract","90640-95-2","292-617-9","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
804,"Distillates (petroleum), solvent dewaxed light paraffinic, clay -treated, if they contain > 3 % w/w DMSO extract","90640-96-3","292-618-4","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
805,"Distillates (petroleum), solvent dewaxed light paraffinic, hydrotreated, if they contain > 3 % w/w DMSO extract","90640-97-4","292-620-5","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
806,"Extracts (petroleum), heavy naphthenic distillate solvent, hydrotreated, if they contain > 3 % w/w DMSO extract","90641-07-9","292-631-5","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
807,"Extracts (petroleum), heavy paraffinic distillate solvent, hydrotreated, if they contain > 3 % w/w DMSO extract","90641-08-0","292-632-0","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
808,"Extracts (petroleum), light paraffinic distillate solvent, hydrotreated, if they contain > 3 % w/w DMSO extract","90641-09-1","292-633-6","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
809,"Residual oils (petroleum), hydrotreated solvent dewaxed, if they contain > 3 % w/w DMSO extract","90669-74-2","292-656-1","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
810,"Residual oils (petroleum), catalytic dewaxed, if they contain > 3 % w/w DMSO extract","91770-57-9","294-843-3","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
811,"Distillates (petroleum), dewaxed heavy paraffinic, hydrotreated, if they contain > 3 % w/w DMSO extract","91995-39-0","295-300-3","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
812,"Distillates (petroleum), dewaxed light paraffinic, hydrotreated, if they contain > 3 % w/w DMSO extract","91995-40-3 ","295-301-9 ","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
813,"Distillates (petroleum), hydrocracked solvent -refined, dewaxed, if they contain > 3 % w/w DMSO extract","91995-45-8","295-306-6","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
814,"Distillates (petroleum), solvent -refined light naphthenic, hydrotreated, if they contain > 3 % w/w DMSO extract","91995-54-9 ","295-316-0 ","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
815,"Extracts (petroleum), hydrotreated light paraffinic distillate solvent, if they contain > 3 % w/w DMSO extract","91995-73-2","295-335-4","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
816,"Extracts (petroleum), light naphthenic distillate solvent, hydrodesulfurised, if they contain > 3 % w/w DMSO extract","91995-75-4","295-338-0","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
817,"Extracts (petroleum), light paraffinic distillate solvent, acid -treated, if they contain > 3 % w/w DMSO extract","91995-76-5","295-339-6","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
818,"Extracts (petroleum), light paraffinic distillate solvent, hydrodesulfurised, if they contain > 3 % w/w DMSO extract","91995-77-6","295-340-1","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
819,"Extracts (petroleum), light vacuum gas oil solvent, hydrotreated, if they contain > 3 % w/w DMSO extract","91995-79-8","295-342-2","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
820,"Foots oil (petroleum), hydrotreated, if it contains > 3 % w/w DMSO extract","92045-12-0","295-394-6","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
821,"Lubricating oils (petroleum), C17 -35, solvent-extd., dewaxed, hydrotreated, if they contain > 3 % w/w DMSO extract","92045-42-6","295-423-2","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
822,"Lubricating oils (petroleum), hydrocracked nonarom solvent -deparaffined, if they contain > 3 % w/w DMSO extract","92045-43-7","295-424-8","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
823,"Residual oils (petroleum), hydrocracked acid -treated solvent-dewaxed, if they contain > 3 % w/w DMSO extract","92061-86-4","295-499-7","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
824,"Paraffin oils (petroleum), solvent -refined dewaxed heavy, if they contain > 3 % w/w DMSO extract","92129-09-4","295-810-6","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
825,"Extracts (petroleum), heavy paraffinic distillate solvent, clay -treated, if they contain > 3 % w/w DMSO extract","92704-08-0","296-437-1","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
826,"Lubricating oils (petroleum), base oils, paraffinic, if they contain > 3 % w/w DMSO extract","93572-43-1","297-474-6","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
827,"Extracts (petroleum), heavy naphthenic distillate solvent, hydrodesulfurised, if they contain > 3 % w/w DMSO extract","93763-10-1","297-827-4","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
