sep=,

File creation date: 20/02/2016
Annex III,Last update: 05/08/2015
LIST OF SUBSTANCES WHICH COSMETIC PRODUCTS MUST NOT CONTAIN EXCEPT SUBJECT TO THE RESTRICTIONS LAID DOWN

Substance identification,Restrictions

Reference number,Chemical name / INN,Name of Common Ingredients Glossary,CAS Number,EC Number,"Product Type, body parts",Maximum concentration in ready for use preparation,Other,Wording of conditions of use and warnings,Regulation,Regulated By,Other Directives/Regulations,SCCS opinions,Chemical/IUPAC Name,Identified INGREDIENTS or substances e.g.,CMR,Update date
157,"cis -Rose ketone-1 (see note 16) (Z)-1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one  (cis-alpha-Damascone) ","","23726-94-5 -- 43052-87-5","245-845-8 ","(a) Oral products (b) Other products","(b) 0.02%","","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
158,"trans -Rose ketone-2 (see note 16) (E)-1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-2-buten-1-one  (trans-beta-Damascone) ","TRANS-ROSE KETONE-2","23726-91-2","245-842-1","(a) Oral products (b) Other products","(b) 0.02%","","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
159,"trans -Rose ketone-5 (see note 16) (E)-1-(2,4,4-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one  (Isodamascone)","TRANS-ROSE KETONE-5","39872-57-6","254-663-8","","0.02%","","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
160,"Rose ketone -4 (see note 16) 1-(2,6,6-Trimethylcyclohexa-1,3-dien-1-yl)-2-buten-1-one  (Damascenone)","ROSE KETONE-4","23696-85-7","245-833-2","(a) Oral products (b) Other products","(b) 0.02%","","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
161,"Rose ketone -3 (see note 16) 1-(2,6,6-Trimethyl-3-cyclohexen-1-yl)-2-buten-1-one (Delta-Damascone)","DELTA-DAMASCONE","57378-68-4","260-709-8","(a) Oral products (b) Other products","(b) 0.02%","","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
162,"cis -Rose ketone-2 (see note 16) (Z)1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-2-buten-1-one (cis-beta-Damascone)","CIS-ROSE KETONE-2","23726-92-3","245-843-7","(a) Oral products (b) Other products","(b) 0.02%","","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
163,"trans -Rose ketone-1 (see note 16) (E)1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one (trans-alpha-Damascone)","TRANS-ROSE KETONE-1","24720-09-0","246-430-4","(a) Oral products (b) Other products","(b) 0.02%","","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
164,"Rose ketone -5 (see note 16) 1-(2,4,4-Trimethyl-2-cycloehexen-1-yl)-2-buten-1-one ","ROSE KETONE-5","33673-71-1","251-632-0","","0.02%","","","(EC) No 344/2013","","","0389/00-The 1st Update of the Inventory of Ingredients employed in Cosmetic Products. Section II: Perfume and Aromatic Raw Materials;0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
165,"trans -Rose ketone-3 (see note 16) 1-(2,6,6-Trimethyl-3-cyclohexen-1-yl)-2-buten-1-one (trans-delta-Damascone)","TRANS-ROSE KETONE-3","71048-82-3","275-156-8","(a) Oral products (b) Other products","(b) 0.02%","","","(EC) No 344/2013","","","0389/00-The 1st Update of the Inventory of Ingredients employed in Cosmetic Products. Section II: Perfume and Aromatic Raw Materials;0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
166,"trans -2-hexenal ","TRANS-2-HEXENAL","6728-26-3","229-778-1","(a) Oral products (b) Other products","(b) 0.002%","","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
167,"l -Limonene (S)-p-Mentha-1,8-diene","LIMONENE","5989-54-8","227-815-6","","","Peroxide value less than 20 mmoles/L (see note 15)","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
168,"dl -Limonene (racemic); 1,8(9)-p-Menthadiene; p-Mentha-1,8-diene (Dipentene)","LIMONENE","138-86-3","205-341-0","","","Peroxide value less than 20 mmoles/L (see note 15)","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
169,"p -Mentha-1,8-dien-7-al","PERILLALDEHYDE","2111-75-3","218-302-8 ","(a) Oral products (b) Other products","(b) 0.1% ","","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
170,"Isobergamate; Menthadiene -7-methyl formate","ISOBERGAMATE","68683-20-5","272-066-0","","0.1%","","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
171,"Methoxy dicyclopentadiene carboxaldehyde; Octahydro -5-methoxy-4,7-Methano-1H-indene-2-carboxaldehyde","SCENTENAL","86803-90-9","-","","0.5%","","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
172,"3 -Methylnon-2-enenitrile ","3-METHYLNON-2-ENENITRILE","53153-66-5","258-398-9","","0.2%","","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
173,"Methyl octine carbonate; Methyl non -2-ynoate","METHYL OCTINE CARBONATE","111-80-8","203-909-2","(a) Oral products (b) Others products","(b) 0.002% when used alone When present in combination with methyl heptine carbonate, the combined level in the finished product should not exceed 0.01% (of which methyl octine carbonate should not be more than 0.002%) ","","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
174,"Amylvinylcarbinyl acetate; 1 -Octen-3-yl acetate","AMYLVINYLCARBINYL ACETATE","2442-10-6","219-474-7","(a) Oral products (b) Other products","(b) 0.3%","","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
175,"Propylidenephthalide; 3 -Propylidenephthalide","PROPYLIDENE PHTHALIDE","17369-59-4","241-402-8","(a) Oral products (b) Other produts","(b) 0.01%","","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
176,"Isocyclogeraniol; 2,4,6 -Trimethyl-3-cyclohexene-1-methanol","ISOCYCLOGERANIOL","68527-77-5","271-282-2","","0.5%","","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
177,"2 -Hexylidene cyclopentanone ","","17373-89-6","241-411-7","(a) Oral products (b) Other products","(b) 0.06%","","","(EC) No 344/2013","","","0770/03-An update of the initial list of perfumery materials which must not form part of cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
178,"Methyl heptadienone; 6 -Methyl-3,5-heptadien-2-one","METHYLHEPTADIENONE","1604-28-0","216-507-7","(a) Oral products (b) Other products","(b) 0.002%","","","(EC) No 344/2013","","","0770/03-An update of the initial list of perfumery materials which must not form part of cosmetic products except subject to the restrictions and conditions laid down","","","",23/05/2013
179,"p -methylhydrocinnamic aldehyde; Cresylpropionaldehyde; p-Methyldihydrocinnamaldehyde","P-METHYLHYDROCINNAMIC ALDEHYDE","5406-12-2","226-460-4 ","","0.2%","","","(EC) No 344/2013","","","0868/05-Opinion on Cresylpropionaldehyde (p-methyldihydrocinnamaldehyde)","","","",23/05/2013
180,"Liquidambar orientalis oil and extract (styrax)","","94891-27-7","305-627-6 ","","0.6%","","","(EC) No 344/2013","","","0872/05-Opinion on Liquidambar spp. Balsam Extracts and Oils (Storax)","","","",23/05/2013
181,"Liquidambar styraciflua oil and extract (styrax)","","8046-19-3 - 94891-8-8","232-458-4 - 305-68-1","","0.6%","","","(EC) No 344/2013","","","0872/05-Opinion on Liquidambar spp. Balsam Extracts and Oils (Storax)","","","",23/05/2013
182,"1 -(5,6,7,8-Tetrahydro-3,5,5,6,8,8,-hexamethyl-2-naphthyl)ethan-1-one (AHTN)","","21145-77-7 - 1506-02-1","244-240-6 - 216-133-4","All cosmetic products with the exception of oral products","(a) leave -on products: 0.1% except:hydroalcoholic products: 1% fine fragrance: 2.5%fragrance cream: 0.5% (b) rinse-off products: 0.2%","","","(EC) No 344/2013","","","0372/00-Opinion on 6-Acetyl-1,1,2,4,4,7-hexamethyltetraline (AHTN);0609/02-Opinion on 6-Acetyl-1,1,2,4,4,7-Hexamethyltetraline (AHTN)","","","",23/05/2013
183,"Commiphora erythrea engler var. glabrescens engler gum extract and oil ","OPOPONAX OIL","93686-00-1","297-649-7","","0.6%","","","(EC) No 344/2013","","","0871/05-Opinion on Commiphora Erythrea Glabrescens Gum Extracts and Oil (Opoponax)","","","",24/05/2013
184,"Opopanax chironium resin ","OPOPANAX CHIRONIUM RESIN EXTRACT","93384-32-8","","","0.6%","","","(EC) No 344/2013","","","0871/05-Opinion on Commiphora Erythrea Glabrescens Gum Extracts and Oil (Opoponax)","","","",24/05/2013
185,"Toluene  ","TOLUENE","108-88-3","203-625-9","Nail products","25%","","Keep out of reach of children. To be used by adults only","(EC) No 344/2013","","","1029/06-Opinion on Toluene (its use as a solvent in nail cosmetics);1170/08-Opinion on Toluene (its use as a solvent in nail cosmetics)","","","Reprotoxic Cat. 2  ",24/05/2013
186,"2,2' -oxydiethanol Diethylene glycol (DEG) ","DIETHYLENE GLYCOL","111-46-6","203-872-2","As traces in ingredients","0.1%","","","(EC) No 344/2013","","","1181/08-Opinion on Diethylene glycol (DEG)","2,2'-oxydiethanol","","",24/05/2013
187,"Diethylene glycol monobutyl ether (DEGBE)","BUTOXYDIGLYCOL","112-34-5","203-961-6","Solvent in hair dye products","9%","No use in aerosol dispensers (sprays)","","(EC) No 344/2013","","","1043/06-Opinion on Diethylene Glycol Monobutyl Ether (DEGBE)","","","",24/05/2013
188,"Ethylene glycol monobutyl ether (EGBE)","BUTOXYETHANOL","111-76-2","203-905-0","a) Solvent in oxidative hair dye products b) Solvent in non -oxidative hair dye products  ","a) 4.0% b) 2.0%","(a) (b) No use in aerosol dispensers (sprays) ","","(EC) No 344/2013","","","1045/06-Opinion on Ethylene Glycol Monobutyl Ether (EGBE) - Butoxyethanol (INCI)","","","",24/05/2013
189,"Trisodium 5 -hydroxy-1-(4-sulphophenyl)-4-(4-sulphophenylazo)pyrazole-3-carboxylate and aluminium lake (see note 17). CL 19140","ACID YELLOW 23","1934-21-0 - 12225-21-7","217-699-5 - 235-428-9","Hair dye substance in non -oxidative hair dye products","0.5%","","","(EC) No 344/2013","","","0786/04-Opinion on Acid Yellow 23","","","",24/05/2013
190,"Benzenemethanaminium, N -ethyl-N-[4-[[4-[ethyl-[(3-sulfophenyl)-methyl]-amino]-phenyl](2-sulfophenyl)methylene]-2,5-cyclohexadien-1-ylidene]-3-sulfo, inner salts, disodium salt and its ammonium and aluminium salts (15); Acid Blue  Acid Blue 9 Ammonium salt; CI 42090. (see note 17)","ACID BLUE 9","3844-45-9 - 2650-18-2 - 68921-42-6","223-339-8 - 220-168-0 - 272-939-6 ","Hair dye substance in non -oxidative hair dye products","0.5%","","","(EC) No 344/2013","","","0787/04-Opinion on Acid Blue 9","","","",27/05/2013
191,"Disodium 6 -hydroxy-5-[(2-methoxy-4-sulphonato-m-tolyl)azo]naphthalene-2-sulphonate (15); CI 16035. (see note 17)","CURRY RED","25956-17-6","247-368-0","Hair dye substance in non -oxidative hair dye products","0.4%","","","(EC) No 344/2013","","","0791/04-Opinion on Curry Red","","","",27/05/2013
192,"Trisodium 1 -(1-naphthylazo)-2-hydroxynaphthalene-4',6,8-trisulphonate and aluminium lake  (Cl 16255) (see note 17).","ACID RED 18","2611-82-7 - 12227-64-4","220-036-2 - 235-438-3","Hair dye substance in non -oxidative hair dye products","0.5%","","","(EC) No 344/2013","","","0792/04-Opinion on Acid Red 18","","","",27/05/2013
193,"Hydrogen 3,6 -bis(diethylamino)-9-(2,4-disulphonatophenyl)xanthylium, sodium salt; CI 45100 (see note 17)","ACID RED 52","3520-42-1","222-529-8","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products","(b) 0.6%","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.5%.","a) To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp,— you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.","(EC) No 344/2013","","","0803/04-Opinion on Acid Red 52;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1115/07-Opinion on Acid Red 52","","","",05/06/2014
194,"Glyoxal ","GLYOXAL","107-22-2","203-474-9","","100 mg/kg","","","(EC) No 344/2013","","","0881/05-Opinion on Glyoxal","","","Mutagenic Cat. 2 (when conc.> or equael 1%)  ",10/02/2015
195,"Sodium 1 -amino-4-(cyclohexylamino)-9,10-dihydro-9,10-dioxoanthracene-2-sulphonate; CI 62045 (see note 17)","ACID BLUE 62","4368-56-3","224-460-9","Hair dye substance in non -oxidative hair dye products","0.5%"," - Do not use with nitrosating systems - Maximum nitrosamine content: 50 microgram/kg - Keep in nitrite-free containers","","(EC) No 344/2013","","","0782/04-Opinion on Acid Blue 62;0878/05-Opinion on Acid Blue 62","","","",27/05/2013
196,"1 -[(2'-Methoxyethyl)amino]-2-nitro-4-[di-(2'-hydroxyethyl)amino]benzene (see note 17)","HC BLUE NO. 11","23920-15-2","459-980-7","Hair dye substance in non -oxidative hair dye products ","2.0% "," - Do not use with nitrosating systems - Maximum nitrosamine content: 50 microgram/kg - Keep in nitrite-free containers","","(EC) No 344/2013","","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1079/07-Opinion on HC Blue No. 11;0184/99-Opinion on HC Blue No. 11","","","",29/05/2013
197,"Ethyl Lauroyl Arginate HCl","ETHYL LAUROYL ARGINATE HCL","60372-77-2","434-630-6","(a) soap (b) anti - dandruff shampoos (c) deodorants, not in form of spray","0,8 %","For purposes other than inhibiting the development of micro - organisms in the product. This purpose has to be apparent from the presentation of the product","","(EC) No 344/2013","","","0837/04-Opinion on Ethyl Lauroyl Arginate;1106/07-Opinion on Ethyl Lauroyl Arginate HCl;1519/13-OPINION ON Ethyl lauroyl arginate HCl - submission IV - P95;1543/14-ADDENDUM to the Opinion on Ethyl lauroyl arginate HCl - SCCS/1519/13 ","","","",10/06/2015
198,"2,2′ -[(4-Aminophenyl))imino]bis (ethanol) sulphate; N,N-bis(2-Hydroxyethyl)- p-Phenylenediamine Sulfate ","N,N-BIS(2-HYDROXYETHYL)- P-PHENYLENEDIAMINE SULFATE ","54381-16-","259-134-5","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditionsthe maximum concentration applied to hair must not exceed 2,5% (calculated as sulphate)  - Do not use with nitrosating agents - Maximum nitrosamine content: 50 microgram/Kg","To be printed on the label: Hair colorants can cause severe allergic reactions","658/2013/EU","","","","","","",09/09/2013
199,"1,3 -Benzenediol, 4-Chlororesorcinol ","4- CHLORORESORCINOL","95-88-5","202-462-0","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2.5%","To be printed on the label: Hair colorants can cause severe allergic reactions.","658/2013/EU","","","","","","",09/09/2013
200," 1 -Propanol, 3-[[4-[bis(2-hydroxyethyl)amino]-2-nitrophenyl]amino] (see note 17)","HC VIOLET NO. 2","104226-19-9","410-910-3","Hair dye substance in non -oxidative hair dye products","2.0%"," - Do not use with nitrosating agents - Maximum nitrosamine content: 50 microgram/kg - Keep in nitrite-free containers","Can cause allergic reaction","(EC) No 344/2013","","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1081/07-Opinion on HC Violet No. 2;0142/99-Opinion on HC Violet No. 2","","","",30/05/2013
200,"2,4,5,6 -Tetraaminopyrimidine sulphate","TETRAAMINOPYRIMIDINE SULFATE","5392-28-9","226-393-0","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products","(b) 3,4% (calculated as sulphate)","(a) After miing under oxidative conditions the maximum concentration applied to hair must not exceed 3,4% (calculated as sulphate)","To be printed on the label: Hair colorants can cause severe allergic reactions","658/2013/EU","","","","","","",09/09/2013
201,"Phenol, 2 -Chloro-6-(ethylamino)-4-nitro- (see note 17)","2-CHLORO-6-ETHYLAMINO-4-NITROPHENOL","131657-78-8","411-440-1","a) Hair dye substance in oxidative hair dye product b) Hair dye substance in non -oxidative hair dye product ","3.0%","a) Afther mixing oxidative conditions the maximum concentration applied to hair must not exceed 1,5% (a) and (b)  - Do not use with nitrosating systems  - Maximum nitrosamine content: 50 microgram/kg  - Keep in nitrite-free containers ","Can cause allergic reaction","(EC) No 344/2013","","","1090/07-Opinion on 2-Chloro-6-ethylamino-4-nitrophenol","","","",05/06/2014
202,"4,4' -[1,3-Propanediylbis(oxy)]bisbenzene-1,3-diamine and its tetrahydrochloride salt (see note 17)","1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE","81892-72-0 - 74918-21-1","279-845-4 -  278-022-7","(a) Hair dye substance in oxidative hair dye products  ","","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.2% calculated as free base (1.8% as tetrahydrochloride salt).","(a) The mixing ratio:  Hair colorants can cause severe allergic reactions.  (b) Can cause allergic reaction","(EC) No 344/2013","","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1098/07-Opinion on 1,3-bis-(2,4-Diaminophenoxy)propane;0136/99-Opinion on 1,3-Bis(2,4-diaminophenoxy)propane","","","",25/07/2013
203,"6 -Methoxy-N2-methyl-2,3-pyridinediamine hydrochloride and dihydrochloride salt ","6-METHOXY-2-METHYLAMINO-3-AMINOPYRIDINE HCL","90817-34-8 /  83732-72-3","- / 280-622-9","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products (c) Products intended for colouring eyelashes","(b) 0.68% as free base (1.0% as dihydrochloride)","For (a) and (c): After mixing under oxidative conditions the maximum use concentration applied to hair or eyeslashes  must not exceed 0.68% calculated as free base (1.0% as dihydrochloride). For (a) (b)  and (c):  - Do not use with nitrosating agents - Maximum nitrosamine content: 50 microgram/kg - Keep in nitrite-free containers (c) For professional use only ","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past (b) Can cause allergic reaction (c) To be printed on the label: The mixing ratio. “For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16.Temporary ‘black henna’ tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: — has a rash on the face or sensitive, irritated and damaged scalp, — has experienced any reaction after colouring hair or eyelashes, — has experienced a reaction to a temporary ‘black henna’ tattoo in the past. Rinse eyes immediately if product comes into contact with them.” ’","(EC) No 1197/2013","","","0643/03-Opinion on HC Blue No. 7;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1121/07-Opinion on 6-Methoxy-2-methylamino-3-aminopyridine HCl","6-Methoxy-2-methylamino-3-aminopyridine HCl","","",10/02/2014
204,"2,3 -Dihydro-1H-indole-5,6-diol and its hydrobromide salt  (see note 17).","DIHYDROXYINDOLINE","29539-03-5 -  138937-28-7","- - 421-170-6","Hair dye substance in non -oxidative hair dye products","2.0%",""," - Can cause allergic reaction - You have ever experienced any reaction afther colouring your hair - You have experienced a reaction to a temporary 'black henna' tattoo in the past","(EC) No 344/2013","","","0669/03-Opinion concerning Dihydroxyindoline HBr","","","",27/05/2013
205,"1 -Hydroxy-3-nitro-4-(3-hydroxypropylamino)benzene (see note 17)","4-HYDROXYPROPYLAMINO-3-NITROPHENOL","92952-81-3","406-305-9","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products  ","(b) 2.6% ","(a) After mixing under oxidative conditions the maximum use concentration applied to hair must not exceed 2.6% calculated as free base. For (a) and (b):  - Do not use with nitrosating systems - Maximum nitrosamine content: 50 microgram/kg - Keep in nitrite-free containers","(a) To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary 'black henna’ tattoo in the past.","(EC) No 344/2013","","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1082/07-Opinion on 4-Hydroxypropylamino-3-nitrophenol;0186/99-Opinion on 4-Hydroxypropylamino-3-nitrophenol","","","",05/06/2014
206,"3 -(2-Hydroxyethyl)-p- phenylenediammonium sulphate","HYDROXYETHYL-P-PHENYLENE-DIAMINE SULFATE","93841-25-9","298-995-1","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2,0% (calculated as sulphate).","","658/2013/EU","","","","","","",09/09/2013
206,"Verbena absolute (Lippia citriodora Kunth.)  ","","8024-12-2","-","","0.2%","","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down;1073/06-Clarification to opinions SCCNFP/0392/00 and SCCNFP/0320/00 concerning the Conditions of Use of Fragrance Ingredients obtained from Verbena (Lippia citiodrora Kunth) in Cosmetic Products","","","",27/05/2013
207,"1H -Indole-5,6-diol","DIHYDROXY-INDOLE","3131-52-0","412-130-9","(a) Hair dye substance in oxidative hair dye products","","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0,5%","To be printed on the label: Hair colorants can cause severe allergic reactions.","658/2013/EU","","","","","","",09/09/2013
208,"1 -(beta-Aminoethyl)amino-4-(beta-hydroxyethyl)oxy-2-nitrobenzene and its salts ","HC ORANGE NO. 2","85765-48-6","416-410-1","Hair dye substance in non -oxidative hair dye products","1.0%"," - Do not use with nitrosating systems - Maximum nitrosamine content: 50 microgram/kg - Keep in nitritefree containes"," Hair colorants can cause severe allergic reactions.  Read and follow instructions. .  ","(EC) No 344/2013","","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1103/07-Opinion on HC Orange No. 2","1-(beta-Aminoethyl)amino-4-(beta-hydroxyethyl)oxy-2-nitrobenzene","","",24/07/2013
208,"5 -Amino-4-chloro-2-methylphenol hydrochloride","5-AMINO-4-CHLORO-O-CRESOL HCL","110102-85-7","","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration to hair must not exceed 1,5% (calculated as hydrochloride).","To be printed on the label: Hair colorants can cause severe allergic reactions.","658/2013/EU","","","","5-Amino-4-chloro-2-methylphenol hydrochloride","","",09/09/2013
209,"1H -Indol-6-ol ","6-HYDROXY-INDOLE","2380-86-1","417-020-4","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0,5%.","To be printied on the label: Hair colorants can cause severe allergic reactions.","658/2013/EU","","","","1H-Indol-6-ol ","","",09/09/2013
210,"1H -Indole-2,3-Dione","","91-56-5","202-077-8","Hair dye substance in non -oxidative hair dye products","1.6%","","Hair colorants can cause severe allergic reactions.","658/2013/EU","","","","1H-Indole-2,3-Dione","","",09/09/2013
210,"1H -Indole-2,3-Dione","ISATIN","91-56-5","202-077-8","Hair dye substance in non -oxidative hair dye products","1.6%","","Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp,  — you have ever experienced any reaction after colouring your hair,  — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.’","658/2013/EU","","","","1H-Indole-2,3-Dione","","",16/06/2014
211,"2 -Aminopyridin-3-ol; 2-Amino-3-Hydroxypyridine ","2-AMINO-3-HYDROXYPYRIDINE","16867-03-1","240-886-8","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0%","To be printed on the label:  The mixing ratio. ‘ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair,  — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.’","658/2013/EU","","","","2-Aminopyridin-3-ol; 2-Amino-3-Hydroxypyridine ","","",16/06/2014
